number,priority,category,assignment_group,breach_probability,flagged,actual,risk_band
INC0031099,2 - High,Category 53,Group 29,0.995,1,1,Critical
INC0030999,2 - High,Category 46,Group 22,0.992,1,1,Critical
INC0031046,2 - High,Category 19,Group 72,0.992,1,1,Critical
INC0032824,2 - High,Category 24,Group 72,0.992,1,1,Critical
INC0031735,2 - High,Category 42,Group 55,0.991,1,1,Critical
INC0031780,2 - High,Category 46,Other,0.991,1,1,Critical
INC0032183,2 - High,Category 53,Group 20,0.991,1,1,Critical
INC0033199,2 - High,Category 46,Group 57,0.99,1,1,Critical
INC0029379,2 - High,Category 57,Other,0.99,1,1,Critical
INC0032733,2 - High,Category 23,Group 20,0.989,1,1,Critical
INC0033594,2 - High,Category 19,Group 72,0.988,1,1,Critical
INC0030066,2 - High,Category 46,Group 22,0.988,1,1,Critical
INC0032648,2 - High,Category 61,Group 73,0.987,1,1,Critical
INC0033653,2 - High,Category 8,Other,0.987,1,1,Critical
INC0030802,2 - High,Category 53,Group 66,0.987,1,1,Critical
INC0034429,2 - High,Category 46,Group 57,0.987,1,1,Critical
INC0034423,2 - High,Category 46,Group 22,0.987,1,1,Critical
INC0034416,2 - High,Category 46,Group 22,0.987,1,1,Critical
INC0034128,2 - High,Category 43,Group 22,0.987,1,1,Critical
INC0033371,2 - High,Category 42,Group 55,0.985,1,1,Critical
INC0030083,2 - High,Category 57,Group 65,0.985,1,1,Critical
INC0031543,2 - High,Category 51,Group 54,0.985,1,1,Critical
INC0034375,2 - High,Category 46,Group 10,0.985,1,0,Critical
INC0031533,2 - High,Category 51,Group 54,0.985,1,1,Critical
INC0031944,2 - High,Category 46,Group 22,0.984,1,1,Critical
INC0031766,2 - High,Category 57,Group 65,0.983,1,1,Critical
INC0029061,2 - High,Category 57,Other,0.98,1,1,Critical
INC0031021,2 - High,Category 23,Group 20,0.979,1,1,Critical
INC0028339,2 - High,Category 19,Group 72,0.979,1,1,Critical
INC0033050,2 - High,Category 32,Group 70,0.976,1,1,Critical
INC0029503,2 - High,Category 57,Group 65,0.976,1,1,Critical
